"ParkName","Region","State","Year","RecreationVisits"
"Gateway Arch NP","Midwest","MO","1989","2518712"
"Yosemite NP","Pacific West","CA","1981","2516893"
"Acadia NP","Northeast","ME","2001","2516551"
"Joshua Tree NP","Pacific West","CA","2016","2505286"
"Acadia NP","Northeast","ME","2010","2504208"
"Hot Springs NP","Midwest","AR","2023","2502967"
"Rocky Mountain NP","Intermountain","CO","1989","2502915"
"Olympic NP","Pacific West","WA","2020","2499177"
"Bryce Canyon NP","Intermountain","UT","2024","2498075"
"Zion NP","Intermountain","UT","1996","2498001"
"Gateway Arch NP","Midwest","MO","2012","2496726"
"Cuyahoga Valley NP","Midwest","OH","2010","2492670"
"Yosemite NP","Pacific West","CA","1980","2490282"
"Cuyahoga Valley NP","Midwest","OH","2007","2486656"
"Grand Teton NP","Intermountain","WY","2008","2485987"
"Olympic NP","Pacific West","WA","1982","2478739"
"Gateway Arch NP","Midwest","MO","1988","2477458"
"Acadia NP","Northeast","ME","1991","2475857"
"Grand Canyon NP","Intermountain","AZ","1981","2472270"
"Acadia NP","Northeast","ME","2000","2469238"
"Cuyahoga Valley NP","Midwest","OH","2006","2468816"
"Grand Teton NP","Intermountain","WY","2005","2463442"
"Hot Springs NP","Midwest","AR","2024","2461812"
"Bryce Canyon NP","Intermountain","UT","2023","2461269"
"Zion NP","Intermountain","UT","2003","2458792"
"Yosemite NP","Pacific West","CA","1983","2457464"
"Zion NP","Intermountain","UT","1999","2449664"
"Grand Teton NP","Intermountain","WY","1979","2446171"
"Zion NP","Intermountain","UT","1997","2445534"
"Gateway Arch NP","Midwest","MO","2010","2436110"
"Olympic NP","Pacific West","WA","2022","2432972"
"Zion NP","Intermountain","UT","2000","2432348"
"Acadia NP","Northeast","ME","2003","2431062"
"Acadia NP","Northeast","ME","2012","2431052"
"Zion NP","Intermountain","UT","1995","2430162"
"Cuyahoga Valley NP","Midwest","OH","2016","2423390"
"Gateway Arch NP","Midwest","MO","2023","2422836"
"Yosemite NP","Pacific West","CA","1982","2415587"
"Gateway Arch NP","Midwest","MO","1992","2415514"
"Olympic NP","Pacific West","WA","1983","2410722"
"Rocky Mountain NP","Intermountain","CO","1986","2408234"
"Grand Teton NP","Intermountain","WY","2006","2406476"
"Joshua Tree NP","Pacific West","CA","2020","2399542"
"Mammoth Cave NP","Southeast","KY","1993","2396234"
"Mammoth Cave NP","Southeast","KY","1992","2392858"
"Zion NP","Intermountain","UT","1993","2392580"
"Zion NP","Intermountain","UT","1992","2390626"
"Gateway Arch NP","Midwest","MO","2007","2385387"
"Gateway Arch NP","Midwest","MO","1990","2382612"
"Acadia NP","Northeast","ME","1992","2382113"
"Gateway Arch NP","Midwest","MO","2013","2377258"
"Acadia NP","Northeast","ME","2011","2374645"
"Zion NP","Intermountain","UT","1998","2370048"
"Yellowstone NP","Intermountain","WY","1982","2368897"
"Glacier NP","Intermountain","MT","2015","2366056"
"Bryce Canyon NP","Intermountain","UT","2016","2365110"
"Gateway Arch NP","Midwest","MO","1987","2364694"
"Yellowstone NP","Intermountain","WY","1986","2363756"
"Grand Teton NP","Intermountain","WY","2004","2360373"
"Gateway Arch NP","Midwest","MO","2009","2360109"
"Grand Teton NP","Intermountain","WY","2003","2355693"
"Bryce Canyon NP","Intermountain","UT","2022","2354660"
"Yosemite NP","Pacific West","CA","1979","2350782"
"Yellowstone NP","Intermountain","WY","1983","2347242"
"Acadia NP","Northeast","ME","1990","2339591"
"Glacier NP","Intermountain","MT","2014","2338528"
"Gateway Arch NP","Midwest","MO","1986","2311147"
"Olympic NP","Pacific West","WA","1981","2306032"
"Grand Canyon NP","Intermountain","AZ","1980","2304973"
"Cuyahoga Valley NP","Midwest","OH","2012","2299722"
"Grand Canyon NP","Intermountain","AZ","1982","2293127"
"Indiana Dunes NP","Midwest","IN","2020","2293106"
"Cuyahoga Valley NP","Midwest","OH","2015","2284612"
"Gateway Arch NP","Midwest","MO","1981","2282261"
"Zion NP","Intermountain","UT","1994","2270871"
"Yosemite NP","Pacific West","CA","2020","2268313"
"Cuyahoga Valley NP","Midwest","OH","1993","2266139"
"Gateway Arch NP","Midwest","MO","2011","2259020"
"Acadia NP","Northeast","ME","2013","2254922"
"Rocky Mountain NP","Intermountain","CO","1985","2248854"
"Grand Canyon NP","Intermountain","AZ","1983","2248082"
"Hawaii Volcanoes NP","Pacific West","HI","1983","2247974"
"Cuyahoga Valley NP","Midwest","OH","2019","2237997"
"Zion NP","Intermountain","UT","1991","2236997"
"Rocky Mountain NP","Intermountain","CO","1984","2231448"
"Acadia NP","Northeast","ME","2009","2227698"
"Cuyahoga Valley NP","Midwest","OH","2017","2226879"
"Yellowstone NP","Intermountain","WY","1985","2226159"
"Yellowstone NP","Intermountain","WY","1984","2222027"
"Zion NP","Intermountain","UT","2001","2217779"
"Acadia NP","Northeast","ME","2004","2207847"
"Glacier NP","Intermountain","MT","1983","2203847"
"Acadia NP","Northeast","ME","2007","2202228"
"Glacier NP","Intermountain","MT","2010","2200048"
"Glacier NP","Intermountain","MT","1992","2199767"
"Glacier NP","Intermountain","MT","2013","2190374"
"Cuyahoga Valley NP","Midwest","OH","2014","2189849"
"Yellowstone NP","Intermountain","WY","1988","2182113"
"Grand Canyon NP","Intermountain","AZ","1984","2173584"
"Hot Springs NP","Midwest","AR","2021","2162884"
"Glacier NP","Intermountain","MT","2012","2162035"
"Cuyahoga Valley NP","Midwest","OH","2011","2161185"
"Indiana Dunes NP","Midwest","IN","2017","2158471"
"Mammoth Cave NP","Southeast","KY","1991","2158195"
"Glacier NP","Intermountain","MT","1994","2152989"
"Indiana Dunes NP","Midwest","IN","2010","2150345"
"Glacier NP","Intermountain","MT","1993","2141704"
"Gateway Arch NP","Midwest","MO","1985","2140316"
"Indiana Dunes NP","Midwest","IN","2019","2134285"
"Grand Canyon NP","Intermountain","AZ","1979","2131716"
"Indiana Dunes NP","Midwest","IN","2005","2127336"
"Mammoth Cave NP","Southeast","KY","1998","2113992"
"Indiana Dunes NP","Midwest","IN","1998","2108789"
"Bryce Canyon NP","Intermountain","UT","2021","2104600"
"Cuyahoga Valley NP","Midwest","OH","2013","2103010"
"Zion NP","Intermountain","UT","1990","2102400"
"Glacier NP","Intermountain","MT","1991","2096966"
"Cuyahoga Valley NP","Midwest","OH","2018","2096053"
"Acadia NP","Northeast","ME","2006","2083588"
"Glacier NP","Intermountain","MT","2007","2083329"
"Olympic NP","Pacific West","WA","1979","2078843"
"Acadia NP","Northeast","ME","2008","2075857"
"Indiana Dunes NP","Midwest","IN","1991","2058801"
"Gateway Arch NP","Midwest","MO","2019","2055309"
"Acadia NP","Northeast","ME","2005","2051484"
"Glacier NP","Intermountain","MT","2004","2033933"
"Olympic NP","Pacific West","WA","1980","2032418"
"Glacier NP","Intermountain","MT","2009","2031348"
